file,folder,reason
E_Tree_Queries.cpp,BINARY_LIFTING,ancestor jumping
G_2_Passable_Paths_hard_version.cpp,BINARY_LIFTING,ancestor jumping
A_Binary_Search.cpp,BINARY_SEARCH,binary search / bound query
B_Closest_to_the_Left.cpp,BINARY_SEARCH,binary search / bound query
B_Splitting_an_Array.cpp,BINARY_SEARCH,binary search / bound query
C_Array_Game.cpp,BINARY_SEARCH,binary search / bound query
C_Closest_to_the_Right.cpp,BINARY_SEARCH,binary search / bound query
C_Cows_in_Stalls.cpp,BINARY_SEARCH,binary search / bound query
C_Keshi_Is_Throwing_a_Party.cpp,BINARY_SEARCH,binary search / bound query
C_Tea_Tasting.cpp,BINARY_SEARCH,binary search / bound query
C_To_Become_Max.cpp,BINARY_SEARCH,binary search / bound query
C_Very_Easy_Task.cpp,BINARY_SEARCH,binary search / bound query
D_Children_Holiday.cpp,TREES,tree dfs / parent-subtree
D_Fast_search.cpp,BINARY_SEARCH,binary search / bound query
D_Jumping_Through_Segments.cpp,BINARY_SEARCH,binary search / bound query
D_Minimum_maximum_on_the_Path.cpp,TREES,tree dfs / parent-subtree
D_Reset_K_Edges.cpp,TREES,tree dfs / parent-subtree
E_Building_an_Aquarium.cpp,BINARY_SEARCH,binary search / bound query
E_Tracking_Segments.cpp,BINARY_SEARCH,binary search / bound query
F_String_Game.cpp,BINARY_SEARCH,binary search / bound query
F_Zhily_and_Cycle.cpp,BINARY_SEARCH,binary search / bound query
G_1_Dances_Easy_version.cpp,BINARY_SEARCH,binary search / bound query
H_Hamburgers.cpp,BINARY_SEARCH,binary search / bound query
Maximize_the_Gap.cpp,BINARY_SEARCH,binary search / bound query
Sushi.cpp,BINARY_SEARCH,binary search / bound query
Tallest_at_the_Moment.cpp,BINARY_SEARCH,binary search / bound query
A_Another_Popcount_Problem.cpp,BITWISE,xor / bit operations
A_We_Need_the_Zero.cpp,BITWISE,xor / bit operations
C_Nim_Game_Is_XOR_Game.cpp,BITWISE,xor / bit operations
D_XOR_Expression_and_Two_Binary_Numbers.cpp,BITWISE,xor / bit operations
E_Data_Structures_Fan.cpp,BITWISE,xor / bit operations
E_The_67_th_XOR_Problem.cpp,BITWISE,xor / bit operations
A_Marisa_Steals_Reimu_s_Takeout.cpp,COMBINATORICS,counting / permutations
B_Crimson_Triples.cpp,COMBINATORICS,counting / permutations
B_Luntik_and_Subsequences.cpp,COMBINATORICS,counting / permutations
G_1_Subsequence_Addition_Easy_Version.cpp,COMBINATORICS,counting / permutations
G_2_Subsequence_Addition_Hard_Version.cpp,COMBINATORICS,counting / permutations
A_Copil_Copac_Draws_Trees.cpp,TREES,tree dfs / parent-subtree
A_Parsa_s_Humongous_Tree.cpp,TREES,tree dfs / parent-subtree
B_Kavi_on_Pairing_Duty.cpp,DP,dp / memoization
B_Minimum_Average_Path.cpp,TREES,tree dfs / parent-subtree
C_Baby_Ehab_Partitions_Again.cpp,DP,dp / memoization
C_Moamen_and_XOR.cpp,DP,dp / memoization
C_Mortal_Kombat_Tower.cpp,DP,dp / memoization
C_Planar_Reflections.cpp,DP,dp / memoization
C_Yarik_and_Array.cpp,DP,dp / memoization
Celester.cpp,DP,dp / memoization
D_Choosing_Capital_for_Treeland.cpp,TREES,tree dfs / parent-subtree
D_Drunken_Maze.cpp,DP,dp / memoization
D_Make_Them_Equal.cpp,DP,dp / memoization
D_Say_No_to_Palindromes.cpp,DP,dp / memoization
E_Block_Sequence.cpp,DP,dp / memoization
E_Friendly_Gifts.cpp,DP,dp / memoization
F_Simple_Cycles_Edges.cpp,TREES,tree dfs / parent-subtree
G_Natlan_Exploring.cpp,DP,dp / memoization
H_A_B_Knapsack.cpp,DP,dp / memoization
A_Disjoint_Sets_Union.cpp,DSU,union find
B_Disjoint_Sets_Union_2.cpp,DSU,union find
C_Experience.cpp,DSU,union find
Drop_Blocks.cpp,FENWICK_TREE,fenwick / i += i & -i
A_Grasshopper_on_a_Line.cpp,GEOMETRY,coordinates / lines
